,Time,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT,KHOU,KHOU_squared,orig.id
36748,3/12/14 19:00,9087.643265,1166.618536,1798.41129,715.0106197,10585.49233,2418.569903,5065.457232,965.3885766,31802.59175,68.162,4646.058244,36748
16130,11/4/11 6:00,7970.015625,1230.693438,1301.186486,717.5097485,10801.10686,2178.239269,4999.593288,991.5711251,30189.91584,46.562,2168.019844,16130
38758,6/4/14 13:00,14829.41657,1707.862497,2300.290425,1144.557945,17693.17548,4185.680084,7993.5954,1387.622594,51242.20099,80.762,6522.500644,38758
23830,9/20/12 11:00,10602.48382,1280.265466,1486.454645,835.6165097,12552.30309,3253.039956,6167.112958,1024.862547,37202.13899,62.762,3939.068644,23830
41192,9/13/14 23:00,10589.42272,1116.65002,1774.763893,674.6387754,10166.11616,2784.78286,5140.631888,942.5404969,33189.54682,73.562,5411.367844,41192
11481,4/24/11 13:00,11414.42865,1400.936523,1337.179579,678.2773497,11952.5311,3433.445478,6612.239832,988.94554,37817.98405,77.162,5953.974244,11481
33240,10/17/13 13:00,10455.06837,1149.184257,1631.297507,731.814225,10978.76243,2562.145481,5276.84661,942.1770455,33727.29593,62.762,3939.068644,33240
9290,1/23/11 6:00,8547.382276,1371.279779,1302.338104,757.9671767,11081.58578,2548.519451,5462.000431,944.5845286,32015.65753,42.962,1845.733444,9290
32800,9/29/13 5:00,9660.220229,996.1977432,1406.516992,576.2619881,8326.176101,2549.45595,4706.847163,780.0956544,29001.77182,78.962,6234.997444,32800
15138,9/23/11 22:00,12266.09893,1392.188255,1427.605226,788.669607,11947.94537,3593.500156,7028.031896,1064.548757,39508.58819,91.562,8383.599844,15138
21525,6/16/12 10:00,11365.23094,1293.040322,1480.91016,854.7741013,13182.92591,3358.919889,6668.905818,1139.367328,39344.07447,78.962,6234.997444,21525
50986,10/27/15 4:00,7876.597763,900.4754221,1787.802916,567.1756724,7868.86361,1942.137967,3881.628443,796.0586896,25620.74048,68.162,4646.058244,50986
26186,12/27/12 15:00,10141.05515,1452.84904,1488.617176,957.4285074,13644.92611,2640.594212,6664.125588,1106.889485,38096.48527,45.212,2044.124944,26186
41141,9/11/14 20:00,16648.13708,1953.949934,2196.544035,895.009077,16396.47609,4620.848549,10220.75013,1362.644774,54294.35967,93.362,8716.463044,41141
21324,6/8/12 1:00,9953.234115,1175.1389,1433.063546,687.7169579,10080.02288,3180.24287,5718.728417,927.0520004,33155.19968,80.762,6522.500644,21324
12234,5/25/11 22:00,14124.06356,1771.206816,1520.067705,929.9973803,15016.54901,4051.287184,9124.100865,1262.444696,47799.71721,89.762,8057.216644,12234
38587,5/28/14 10:00,10600.10637,1343.005128,1826.512077,765.4152974,11906.23794,3254.257164,6229.487331,1016.766314,36941.78762,69.962,4894.681444,38587
51224,11/6/15 2:00,9659.073539,1109.815269,1816.349616,584.841977,8464.240185,2660.846216,5109.235233,794.411779,30198.81381,75.812,5747.459344,51224
53466,2/7/16 12:00,9714.665521,1191.630008,1997.98719,768.8692685,11722.01164,2791.508189,5905.625993,1059.304737,35151.60255,37.112,1377.300544,53466
39110,6/19/14 5:00,10551.03766,1175.203964,1693.710044,778.3861376,11334.83097,2986.222418,5610.501123,972.4906055,35102.38292,78.962,6234.997444,39110
55283,4/23/16 5:00,7918.053798,926.8678365,1822.270866,566.1208595,7817.285387,2318.298594,3940.153107,764.7232327,26073.77368,65.012,4226.560144,55283
41427,9/23/14 18:00,13982.36601,1663.964323,2153.226297,991.5938464,16283.33994,4051.343175,8506.030065,1389.849509,49021.71317,82.562,6816.483844,41427
35244,1/9/14 3:00,8100.21423,1232.635781,1765.772941,836.6221784,10752.54956,2184.163851,4746.545497,1069.963987,30688.46803,53.762,2890.352644,35244
53031,1/20/16 9:00,10417.40123,1480.237533,2244.741285,1018.952907,15758.24692,2667.043952,6286.899365,1334.526846,41208.05004,51.962,2700.049444,53031
11780,5/7/11 0:00,8987.2542,1107.8585,1288.78606,722.41173,10618.8526,2773.9046,5450.97347,916.2328,31866.27396,73.562,5411.367844,11780
38928,6/11/14 15:00,16569.00623,1898.415774,2391.42968,1078.988025,18115.00587,5014.395264,9330.471416,1538.115215,55935.82748,84.362,7116.947044,38928
55295,4/23/16 17:00,12713.45752,1460.588164,2164.687716,789.315366,13001.03676,3962.930851,6887.758757,1088.595168,42068.3703,79.862,6377.939044,55295
14563,8/30/11 23:00,14299.23868,1933.232778,1746.452432,1165.185612,18372.40832,3982.648295,9072.396208,1377.707921,51949.27024,91.562,8383.599844,14563
51702,11/26/15 0:00,9313.2802,1124.70783,1842.5895,650.42376,9635.0269,2643.3698,4902.9607,880.2646,30992.62329,69.512,4831.918144,51702
6043,9/9/10 23:00,12597.56317,1695.715319,1331.369912,1003.460872,15192.60026,3535.691212,7508.35763,1231.108353,44095.86673,86.162,7423.890244,6043
49025,8/6/15 11:00,15471.40831,1873.773829,2355.211675,1134.22756,18621.54994,4314.687136,8543.3931,1487.455387,53801.70694,78.062,6093.675844,49025
636,1/27/10 12:00,9142.781684,1234.323433,1154.958489,817.3048793,11579.98684,2392.628538,5043.054821,972.1740076,32337.21269,55.562,3087.135844,636
50530,10/8/15 4:00,8979.113699,1010.382907,1773.901117,636.3181351,9244.493834,2576.042361,4851.491725,882.1292998,29953.87308,74.912,5611.807744,50530
